Date,  Average*,  MLS® HPI Aggregate Composite Benchmark†,,*Actual (not seasonally adjusted)
Jan-05,229346,241000,,† Seasonally adjusted
Feb-05,238263,241800,,
Mar-05,243861,242600,,
Apr-05,247920,243300,,
May-05,250771,243800,,
Jun-05,252254,245300,,
Jul-05,250278,247400,,
Aug-05,245982,249700,,
Sep-05,253327,252200,,
Oct-05,255971,255100,,
Nov-05,256277,257900,,
Dec-05,257024,260500,,
Jan-06,256033,263700,,
Feb-06,266593,266400,,
Mar-06,272825,269300,,
Apr-06,278948,272600,,
May-06,282704,275900,,
Jun-06,283069,278800,,
Jul-06,276424,281600,,
Aug-06,274489,284500,,
Sep-06,276422,287400,,
Oct-06,282207,288800,,
Nov-06,280862,290800,,
Dec-06,279173,293200,,
Jan-07,281914,295600,,
Feb-07,294207,299000,,
Mar-07,298814,301700,,
Apr-07,304985,304500,,
May-07,312754,307700,,
Jun-07,315137,310700,,
Jul-07,311404,313300,,
Aug-07,305417,315300,,
Sep-07,307475,317400,,
Oct-07,312112,319300,,
Nov-07,313535,321100,,
Dec-07,316790,323200,,
Jan-08,310107,324800,,
Feb-08,312815,325200,,
Mar-08,314579,325300,,
Apr-08,318342,324100,,
May-08,318625,322300,,
Jun-08,314425,320600,,
Jul-08,303423,318300,,
Aug-08,292192,316300,,
Sep-08,292593,314500,,
Oct-08,282215,310400,,
Nov-08,283500,307100,,
Dec-08,284400,303300,,
Jan-09,275586,300100,,
Feb-09,284807,297400,,
Mar-09,290313,295300,,
Apr-09,307157,296800,,
May-09,320361,299200,,
Jun-09,326985,302900,,
Jul-09,327456,307300,,
Aug-09,324543,311700,,
Sep-09,331726,316400,,
Oct-09,340824,321100,,
Nov-09,337029,325300,,
Dec-09,336599,328700,,
Jan-10,328947,331400,,
Feb-10,336425,333500,,
Mar-10,341153,335000,,
Apr-10,344967,335600,,
May-10,347458,335300,,
Jun-10,342057,334100,,
Jul-10,330385,333200,,
Aug-10,325008,332900,,
Sep-10,330935,333100,,
Oct-10,343714,334200,,
Nov-10,344124,335900,,
Dec-10,345544,337700,,
Jan-11,344004,340100,,
Feb-11,365627,343000,,
Mar-11,371348,345400,,
Apr-11,371809,347700,,
May-11,376603,350300,,
Jun-11,370940,353100,,
Jul-11,359597,355600,,
Aug-11,349104,357900,,
Sep-11,351545,359700,,
Oct-11,361552,361400,,
Nov-11,358677,363300,,
Dec-11,346873,365000,,
Jan-12,348404,366800,,
Feb-12,372305,368100,,
Mar-12,370117,369600,,
Apr-12,375947,371000,,
May-12,374912,371000,,
Jun-12,369594,370600,,
Jul-12,353525,370300,,
Aug-12,350387,369600,,
Sep-12,355203,369600,,
Oct-12,361292,369400,,
Nov-12,356568,369000,,
Dec-12,352695,370300,,
Jan-13,355501,370200,,
Feb-13,368776,370900,,
