"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","25467.8","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","27164.9","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","26902.5","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","27588.5","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","28601.5","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","31847.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","31270.7","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","28330.6","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","29828.5","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","30710.5","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","29341.8","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","30819.0","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","30483.2","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","30153.1","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","30619.0","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","31002.6","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","30128.6","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","31306.8","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","29848.0","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","30128.0","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","29690.1","","","","1"
"2002","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","4741.1","","","","1"
"2003","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","4823.6","","","","1"
"2004","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","4965.8","","","","1"
"2005","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5123.9","","","","1"
"2006","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5248.0","","","","1"
"2007","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5223.3","","","","1"
"2008","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5282.8","","","","1"
"2009","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5292.7","","","","1"
"2010","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5405.2","","","","1"
"2011","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5509.4","","","","1"
"2012","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5560.9","","","","1"
"2013","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5666.5","","","","1"
"2014","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5686.4","","","","1"
"2015","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5768.5","","","","1"
"2016","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5892.0","","","","1"
"2017","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","6156.5","","","","1"
"2018","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","6267.3","","","","1"
"2019","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","6559.4","","","","1"
"2020","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","6366.4","","","","1"
"2021","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","6899.7","","","","1"
"2022","Prince Edward Island","2016A000211","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","7109.9","","","","1"
"2002","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","34327.5","","","","1"
"2003","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","34772.7","","","","1"
"2004","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","35143.7","","","","1"
"2005","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","35580.2","","","","1"
"2006","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","35752.7","","","","1"
"2007","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","36094.4","","","","1"
"2008","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","36704.7","","","","1"
"2009","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","36723.2","","","","1"
"2010","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","37681.8","","","","1"
"2011","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","37799.3","","","","1"
"2012","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","37443.8","","","","1"
"2013","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","37341.6","","","","1"
"2014","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","37736.2","","","","1"
"2015","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","38025.3","","","","1"
"2016","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","38542.0","","","","1"
"2017","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","39329.1","","","","1"
"2018","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","40021.6","","","","1"
"2019","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","41404.3","","","","1"
"2020","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","39525.3","","","","1"
"2021","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","41914.0","","","","1"
"2022","Nova Scotia","2016A000212","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","43188.4","","","","1"
