"REF_DATE","GEO","DGUID","Institutional sector","Asset","Dwelling type","Housing Type","Prices","Estimate","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","98225","","","","0"
"2003","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","101692","","","","0"
"2004","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","110821","","","","0"
"2005","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","115031","","","","0"
"2006","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","118300","","","","0"
"2007","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","124863","","","","0"
"2008","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","118308","","","","0"
"2009","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","111671","","","","0"
"2010","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","120569","","","","0"
"2011","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","122527","","","","0"
"2012","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","129692","","","","0"
"2013","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","128772","","","","0"
"2014","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","131639","","","","0"
"2015","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","137101","","","","0"
"2016","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","142581","","","","0"
"2017","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","146549","","","","0"
"2018","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","145750","","","","0"
"2019","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","144590","","","","0"
"2020","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","151231","","","","0"
"2021","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","173503","","","","0"
"2022","Canada","2021A000011124","Total economy","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478129029","1.1.1.1.1.2.1","155162","","","","0"
"2002","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1145","","","","0"
"2003","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1185","","","","0"
"2004","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1295","","","","0"
"2005","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1336","","","","0"
"2006","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1369","","","","0"
"2007","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1445","","","","0"
"2008","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1371","","","","0"
"2009","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1282","","","","0"
"2010","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1394","","","","0"
"2011","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1419","","","","0"
"2012","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1492","","","","0"
"2013","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1474","","","","0"
"2014","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1499","","","","0"
"2015","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1558","","","","0"
"2016","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1628","","","","0"
"2017","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1690","","","","0"
"2018","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1693","","","","0"
"2019","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1696","","","","0"
"2020","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1785","","","","0"
"2021","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","2060","","","","0"
"2022","Canada","2021A000011124","Non-financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478135509","1.2.1.1.1.2.1","1859","","","","0"
"2002","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","122","","","","0"
"2003","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","127","","","","0"
"2004","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","140","","","","0"
"2005","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","145","","","","0"
"2006","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","150","","","","0"
"2007","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","158","","","","0"
"2008","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","149","","","","0"
"2009","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","139","","","","0"
"2010","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","150","","","","0"
"2011","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","153","","","","0"
"2012","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","161","","","","0"
"2013","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","160","","","","0"
"2014","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","163","","","","0"
"2015","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","171","","","","0"
"2016","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","181","","","","0"
"2017","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","187","","","","0"
"2018","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","188","","","","0"
"2019","Canada","2021A000011124","Financial corporations","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478141989","1.3.1.1.1.2.1","188","","","","0"
