"REF_DATE","GEO","DGUID","Base year","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2016A000011124","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068508","1.5.1","100.00","","","","2"
"2018","Canada","2016A000011124","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068508","1.5.1","100.00","","","","2"
"2019","Canada","2016A000011124","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068508","1.5.1","100.00","","","","2"
"2020","Canada","2016A000011124","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068508","1.5.1","100.00","","","","2"
"2021","Canada","2016A000011124","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068508","1.5.1","100.00","","","","2"
"2022","Canada","2016A000011124","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068508","1.5.1","100.00","","","","2"
"2023","Canada","2016A000011124","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068508","1.5.1","100.00","","","","2"
"2017","St. John's, Newfoundland and Labrador","2011S0503001","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068509","2.5.1","1.16","","","","2"
"2018","St. John's, Newfoundland and Labrador","2011S0503001","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068509","2.5.1","0.87","","","","2"
"2019","St. John's, Newfoundland and Labrador","2011S0503001","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068509","2.5.1","0.68","","","","2"
"2020","St. John's, Newfoundland and Labrador","2011S0503001","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068509","2.5.1","0.41","","","","2"
"2021","St. John's, Newfoundland and Labrador","2011S0503001","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068509","2.5.1","0.31","","","","2"
"2022","St. John's, Newfoundland and Labrador","2011S0503001","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068509","2.5.1","0.22","","","","2"
"2023","St. John's, Newfoundland and Labrador","2011S0503001","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068509","2.5.1","0.23","","","","2"
"2017","Charlottetown, Prince Edward Island","2011S0504105","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068510","3.5.1","0.15","","","","2"
"2018","Charlottetown, Prince Edward Island","2011S0504105","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068510","3.5.1","0.18","","","","2"
"2019","Charlottetown, Prince Edward Island","2011S0504105","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068510","3.5.1","0.27","","","","2"
"2020","Charlottetown, Prince Edward Island","2011S0504105","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068510","3.5.1","0.14","","","","2"
"2021","Charlottetown, Prince Edward Island","2011S0504105","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068510","3.5.1","0.13","","","","2"
"2022","Charlottetown, Prince Edward Island","2011S0504105","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068510","3.5.1","0.12","","","","2"
"2023","Charlottetown, Prince Edward Island","2011S0504105","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068510","3.5.1","0.15","","","","2"
"2017","Halifax, Nova Scotia","2011S0503205","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068511","4.5.1","0.72","","","","2"
"2018","Halifax, Nova Scotia","2011S0503205","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068511","4.5.1","0.71","","","","2"
"2019","Halifax, Nova Scotia","2011S0503205","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068511","4.5.1","0.79","","","","2"
"2020","Halifax, Nova Scotia","2011S0503205","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068511","4.5.1","0.81","","","","2"
"2021","Halifax, Nova Scotia","2011S0503205","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068511","4.5.1","1.02","","","","2"
"2022","Halifax, Nova Scotia","2011S0503205","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068511","4.5.1","1.10","","","","2"
"2023","Halifax, Nova Scotia","2011S0503205","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068511","4.5.1","1.27","","","","2"
"2017","Saint John, Fredericton and Moncton, New Brunswick","2011S0503310","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068512","5.5.1","1.02","","","","2"
"2018","Saint John, Fredericton and Moncton, New Brunswick","2011S0503310","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068512","5.5.1","0.87","","","","2"
"2019","Saint John, Fredericton and Moncton, New Brunswick","2011S0503310","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068512","5.5.1","0.69","","","","2"
"2020","Saint John, Fredericton and Moncton, New Brunswick","2011S0503310","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068512","5.5.1","0.47","","","","2"
"2021","Saint John, Fredericton and Moncton, New Brunswick","2011S0503310","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068512","5.5.1","0.45","","","","2"
"2022","Saint John, Fredericton and Moncton, New Brunswick","2011S0503310","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068512","5.5.1","0.45","","","","2"
"2023","Saint John, Fredericton and Moncton, New Brunswick","2011S0503310","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068512","5.5.1","0.56","","","","2"
"2017","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","1.45","","","","2"
"2018","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","1.34","","","","2"
"2019","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","1.32","","","","2"
"2020","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","0.49","","","","2"
"2021","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","0.55","","","","2"
"2022","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","0.60","","","","2"
"2023","Québec, Quebec","2011S0503421","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068513","6.5.1","0.75","","","","2"
"2017","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.52","","","","2"
"2018","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.47","","","","2"
"2019","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.43","","","","2"
"2020","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.18","","","","2"
"2021","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.21","","","","2"
"2022","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.21","","","","2"
"2023","Sherbrooke, Quebec","2011S0503433","Index, 201612=100","Total, house and land","Index, 201612=100","347","units","0","v112068514","7.5.1","0.24","","","","2"
